OFFICIAL_SUBURB,NUM_RES_PROP,MED_LAND_EXTENT/m2,MED_TOT_BLD_AREA/m2,GV2012_VAL,GV2015_VAL
GRAANENDAL,279,350,185,1800000.00,2200000.00
GRACELAND,194,161,65,410000.00,455000.00
GRASSY PARK,3388,498,182,670000.00,790000.00
GREEN POINT,771,323,226,3500000.00,4520000.00
GREENFIELDS,587,312,101,475000.00,560000.00
GREENLANDS,588,176,62,200000.00,230000.00
GREENVILLE GARDEN CITY,192,99,41,,200000.00
GREENWAYS,248,596,352,2500000.00,2940000.00
GROENVALLEI,502,285,111.5,570000.00,675000.00
GUGULETU,8518,230,51,203000.00,240000.00
HAASENDAL,152,873.5,351,1316000.00,1700000.00
HAGLEY,870,253,76,540000.00,630000.00
HANOVER PARK,2505,141,64,160000.00,250000.00
HAPPY VALLEY,718,162,20,88000.00,99000.00
HARARE,3637,152,49,160000.00,200000.00
HARBOUR ISLAND,145,323,328,3000000.00,3450000.00
HARDEKRAALTJIE,,,,,
HARMONY VILLAGE,,,,,
HATTON,,,,,
HAZENDAL,814,296,93,257500.00,360000.00
HEARTLAND BEACH ROAD PRECINCT,,,,,
HEARTLAND HISTORIC PRECINCT,,,,,
HEATHFIELD,1015,471,167,780520.00,950000.00
HEEMSTEDE,81,250,122,720000.00,820000.00
HEIDEVELD,2005,258,77,222000.00,270000.00
HELDERBERG ESTATE,257,1803,360,2500000.00,2800000.00
HELDERBERG INDUSTRIAL PARK,,,,,
HELDERBERG PARK,129,421,138,507000.00,570000.00
HELDERBERG RURAL,,,,,
HELDERBERG VILLAGE,1,10000,283,5500000.00,6500000.00
HELDERRANT,140,1300,343.5,2450000.00,2800000.00
HELDERVUE,1119,1001,297,1670000.00,2000000.00
HELDERZICHT,72,499,179.5,680000.00,750000.00
HELENA HEIGHTS,222,1957.5,402.5,2730000.00,3200000.00
HERITAGE PARK,600,400,160,1100000.00,1350000.00
HIGH RIDING,6,8478,581.5,3209500.00,3850000.00
HIGHBURY,1159,468,182,638000.00,730000.00
HIGHBURY PARK,925,212,77,481000.00,550000.00
HIGHGATE,120,240,52.5,395500.00,440000.00
HIGHLANDS VILLAGE,317,170,69,318000.00,460000.00
HIGHVELD,36,1365,400,2585000.00,3100000.00
HILLCREST HEIGHTS,547,330,68,372000.00,430000.00
HINDLE PARK,177,171,54,315000.00,419000.00
HOHEIZEN,181,814,266,1700000.00,1950000.00
HOOGSTEDE,103,845,283,1210000.00,1400000.00
HOUT BAY,4359,733,246.5,2450000.00,3000000.00
HUMANSHOF,53,1027,257,1200000.00,1330000.00
HUNTERS CREEK,363,355,122,724000.00,830000.00
HYDE PARK,66,381,151,518500.00,605000.00
IKWEZI PARK,2244,468.5,105,431000.00,510000.00
ILITHA PARK,3373,192,62,390000.00,440000.00
ILLAIRE,63,1200,259,1800000.00,2100000.00
JACARANDAS,370,527,165,870000.00,1050000.00
JACOBSDAL SMALLHOLDINGS,,,,,
JACQUES HILL,59,1123,285,1675000.00,2000000.00
JAGTERSHOF,328,435.5,124.5,687500.00,805000.00
JAN KRIEL,,,,,
JOE SLOVO PARK,1004,112,20,62000.00,63860.00
JONKERS HOOGTE,30,1979.5,353,2045000.00,2325000.00
JOOSTENBERGVLAKTE SMALLHOLDINGS,4,3936,665.5,1975000.00,2400000.00
JOUBERTPARK,119,348,132,710000.00,840000.00
KAAPSIG,173,251,114,800000.00,910000.00
KAAPZICHT,183,793,259,1570000.00,1850000.00
KALK BAY,226,496,248.5,3022000.00,3750000.00
KALKFONTEIN 1,297,160,42,177000.00,200000.00
KALKFONTEIN II,1358,160,20,88000.00,99000.00
KALKSTEENFONTEIN,595,248,53,211000.00,270000.00
KANONBERG,145,815,490,4676000.00,5600000.00
KATAMUDA,36,774.5,215,1325000.00,1575000.00
KELDERHOF,340,495,207,1052000.00,1600000.00
KEMPENVILLE,180,601.5,203.5,930000.00,1100000.00
KENILWORTH,1659,429,190,1590000.00,2000000.00
KENRIDGE - Bellville,142,947.5,255.5,1600000.00,1900000.00
KENRIDGE - Durbanville,732,1058.5,282,1800000.00,2200000.00
KENSINGTON,2246,494,179,690150.00,830000.00
KEWTOWN,978,229.5,66.5,377000.00,430000.00
KHAYA,2846,178,56,182000.00,240000.00
KILLARNEY GARDENS,,,,,
KING DAVID COUNTRY CLUB,,,,,
KINGSTON,144,624.5,215.5,960000.00,1150000.00
KIRSTENHOF,1281,702,178,1587000.00,2000000.00
KLEIN ZEVENWACHT,37,5163,617,4245000.00,5200000.00
KLEINBEGIN,109,535,188,593000.00,670000.00
KLEINBOSCH,251,593,226,1640000.00,1900000.00
KLEINBRON,728,473,193,1290000.00,1670000.00
KLEINVLEI TOWN,2068,199,64,213500.00,240000.00
KLIPDAM,157,1031,288,1025000.00,1250000.00
KLIPHEUWEL HOUSING SCHEME,89,200,30,55000.00,62000.00
KLIPKOP,737,595,184,760000.00,890000.00
KLOOFZICHT,65,262,112,656000.00,870000.00
KOMMETJIE,1254,689,248,1765000.00,2300000.00
KRAAIFONTEIN,,,,,
KRAAIFONTEIN EAST,,,,,
KRAAIFONTEIN INDUSTRIA,,,,,
KUILS RIVER COMMON,,,,,
KUILS RIVER SPORTS GROUNDS,,,,,
KUILSRIVIER GOLF COURSE,,,,,
KUILSRIVIER INDUSTRIA,,,,,
KUILSRIVIER SOUTH SMALLHOLDINGS,78,149,52,484000.00,550000.00
KUYASA,4264,120,36,81000.00,88580.00
LA CONCORDE,306,1292,401.5,3000000.00,3600000.00
LA MONTAGNE,84,619,267.5,2200000.00,2500000.00
LA ROCHELLE,302,722,245.5,1150000.00,1350000.00
LA SANDRA,122,1261,382,2790000.00,3300000.00
LABIANCE,271,729,198,900000.00,1100000.00
LAGOON BEACH,,,,,
LAKESIDE,1387,442,160,1260000.00,1600000.00
LAND EN ZEEZICHT,424,1090.5,295,1900000.00,2300000.00
LANGA,4304,191,54,233000.00,350000.00
LANGEBERG HOOGTE,323,501,181,1070000.00,1520000.00
LANGEBERG RIDGE,825,481,155,800000.00,1000000.00
LANGEBERG VILLAGE,66,1010,224,1400000.00,1800000.00
LANSDOWNE,4098,496,187,876000.00,1060000.00
LAVENDER HILL,1394,197,47,180000.00,250000.00
LEIDEN,6233,102,30,97000.00,105000.00
LENTEGEUR,6809,160,72,290000.00,340000.00
LEONSDALE,1042,142,65,410000.00,480000.00
LETRU,26,727,245,822000.00,1000000.00
LILLYDALE,46,334,111.5,710000.00,790000.00
LLANDUDNO,304,991,436.5,8500000.00,11000000.00
LOEVENSTEIN,901,1016,321,2000000.00,2400000.00
LONGDOWN ESTATE,44,1009.5,268.5,1335000.00,1575000.00
LOTUS RIVER,5115,442,134,540000.00,640000.00
LOUCHARMANTE,95,312,128,776500.00,920000.00
LOUMAR,46,763,196.5,845000.00,1000000.00
LOURENSIA PARK,212,153,39,180000.00,240000.00
LWANDLE,858,158,38,95000.00,105000.00
LYNN'S VIEW,425,984,271,1630000.00,1950000.00
MABILLE PARK,283,729,216,801000.00,1000000.00
MACASSAR,510,322.5,107,327500.00,370000.00
MACASSAR BEACH,15,803,188,380000.00,430000.00
MACASSAR VILLAGE,1261,123,36,91000.00,100000.00
MAITLAND,1003,358,153,624000.00,760000.00
MAITLAND GARDEN VILLAGE,237,275,57,400000.00,470000.00
MALIBU VILLAGE,1341,350,90,410000.00,460000.00
MALL INTERCHANGE,,,,,
MALL MOTOR CITY,,,,,
MALL TRIANGLE,,,,,
MALMESBURY FARMS,,,,,
MAMRE,1665,499,104,256000.00,240000.00
MANDELA PARK,5426,114,41,183000.00,200000.00
MANENBERG,3831,252,66,236000.00,280000.00
MANSFIELD INDUSTRIA,,,,,
MARCONI BEAM,,,,,
MARINDA PARK,121,617,147,800000.00,900000.00
MARTINVILLE,437,993,221,1420000.00,1600000.00
MARVINPARK,94,596,152,630000.00,710000.00
MATROOSFONTEIN,731,469,142,295000.00,460000.00
MEADOWRIDGE,819,818,224,2100000.00,2600000.00
MELKBOSCH STRAND,3125,704,269,1810000.00,2200000.00
METRO,,,,,
MEYERHOF,63,450,175,850000.00,980000.00
MFULENI,7318,114,38,90000.00,120000.00
MIKPUNT,100,4282,235,1100000.00,1300000.00
MIKRO PARK,153,791,221,971000.00,1250000.00
MILNERTON,1228,991,286,1690000.00,2200000.00
MILNERTON RIDGE,459,770,268,1610000.00,2100000.00
MISSION GROUNDS,217,567,147,294000.00,450000.00
MISTY CLIFFS,42,629,246,3200000.00,4450000.00
MITCHELLS PLAIN CBD,,,,,
MODDERDAM,30,335.5,154,670000.00,723600.00
MONTAGUE,,,,,
MONTAGUE GARDENS,,,,,
MONTANA,531,570,181,620000.00,730000.00
MONTANA EXTENSION,87,325,93,520000.00,640000.00
MONTCHERE,38,1185,389.5,2430000.00,2900000.00
MONTE SERENO,72,1030.5,322,1940000.00,2300000.00
MONTE VISTA,1389,694,250,1310000.00,1600000.00
MONTEVIDEO,137,405,155,570000.00,660000.00
MONWABISI,,,,,
MORGAN INDUSTRIA,,,,,
MORGANS VILLAGE,440,123,56,300000.00,410000.00
MORGENSTER,528,717,205,1010000.00,1150000.00
MORGENSTER HEIGHTS,726,741,220,1050000.00,1200000.00
MORNINGSIDE,66,1024,260,1760000.00,2000000.00
MORNINGSTAR,273,304,76,420000.00,480000.00
MOUILLE POINT,11,199,238,3500000.00,4100000.00
MOUNTAINSIDE,101,1190,315,1835000.00,2000000.00
MOUNTAINSIDE ESTATE,315,503,242,1270000.00,1450000.00
MOUNTAINSIDE EXT 2,72,991,273.5,1525000.00,1850000.00
MOUNTVIEW,414,485,163,750000.00,870000.00
MOWBRAY,807,418,186,1500000.00,1950000.00
MUIZENBERG,3475,270,132,850000.00,1000000.00
MXOLISI PHETANI,2632,107,42,187000.00,168000.00
N1-STAD,,,,,
NATURES VALLEY,30,1077.5,247.5,1435500.00,1825000.00
NATURE'S VALLEY,35,1012,259,1700000.00,2000000.00
NERINA,157,1072,269,1600000.00,1900000.00
NEW MACASSAR,395,276,78,289000.00,320000.00
NEW SCHEME,267,340,114,310000.00,350000.00
NEW WOODLANDS,1773,204,72,290000.00,340000.00
NEWFIELDS,890,519,205,720000.00,850000.00
NEWLANDS,1863,663,297,3550000.00,4900000.00
NIEUW MAASTRECHT-1,,,,,
NIEUW MAASTRECHT-2,,,,,
NOMZAMO,2215,171,23,80000.00,90000.00
NONQUBELA,3231,90,43,176000.00,200000.00
NOOITGEDACHT,403,325,94,360000.00,450000.00
NOORDHOEK,1411,1040,324,2781500.00,3350000.00
NORMANDIE ESTATE,294,240,108.5,700000.00,970000.00
NORTHGATE,59,748,262,1490000.00,1750000.00
NORTHPINE,2327,312,128,531000.00,600000.00
NUTWOOD,42,1508.5,460,3140000.00,4000000.00
NYANGA,6372,194,48,219000.00,250000.00
OAKDALE,1228,496,187,890000.00,1100000.00
OAKDENE,198,699.5,262,755000.00,860000.00
OAKGLEN,955,640,173,1060000.00,1200000.00
OBSERVATORY,1823,218,129,1130000.00,1500000.00
